batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason	working_queue_triage_reason
558	gpm_stl.csv	175179989	COME AS YOU ARE - COVER - Reimagined - 90bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:01			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER;COVER_RIGHTS_SOURCE_REVIEW
559	gpm_stl.csv	175180206	COME DANCE (INSTRO) 70bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:57			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
560	gpm_stl.csv	175180207	COME DANCE - 99bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:51			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
561	gpm_stl.csv	175180465	I'm Coming Home - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Caught Off Guard	0:03:02	85.0	Cinematic	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
562	gpm_stl.csv	175180466	I LIVE FREE - INSTRO	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	- CRAZY, MOTION, DRIVE, AGGRESSIVE, MOTION, CONQUEST, OVERCOME, VICTORY, TEAMWORK, GOAL, EFFORT, COLLABORATION	0:02:31	130.0	Pop	YES	DUPLICATE_TITLE;GLOBAL_INSTRO_STANDARD	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
567	gpm_stl.csv	175181062	ME N' MY GUITAR	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	- AD, FILM RUSTIC, WOODSY, WANDERLUST, TOMORROW, SAD, LONGING, DESTINY, EMPTY, OPEN, UNSURE, STRONH, CLEAR, GROUNDED	0:03:21	117.0	Cont Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
568	gpm_stl.csv	175181291	Hurry Up n' Wait	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Chris Krause	Change Me	0:02:58	151.0	Americana	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
569	gpm_stl.csv	175181303	EV'RYBODY FEELS THE RAIN - 96bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:11			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
570	gpm_stl.csv	175181307	EV'RYBODY FEELS THE RAIN -  INSTRO - 96bpm - EbMajor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:11			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
572	gpm_stl.csv	175181527	EYES TELL IT ALL - 82bpm - F#minor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:04:50			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
574	gpm_stl.csv	175181608	FAR AWAY FROM HERE -  INSTRO 140bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:02:45			YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
576	gpm_stl.csv	175183116	GOOD 2B HOME - INSTRO 65bpm GMajor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:09		Abstract	YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
577	gpm_stl.csv	175183117	GOOD 2B HOME - 65bpm	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION			0:03:09			YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
585	gpm_stl.csv	180077148	Kleigh - Forget You BflatMaj 62BPM PROD MASTER	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Kleigh		0:03:56	62.0		YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
586	gpm_stl.csv	181313219	Kleigh - Down (PROD) - 69BPM Fmaj VER 3 Energy Chorus Master.wav	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Kleigh		0:04:24	69.0		YES	POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER	ALREADY_TRIAGE_LATER
