track_id_assignment_batch_id	assignment_row_number	registry_import_batch_id	registry_import_row_number	source_queue_file	source_queue_row_number	source_csv	source_id	source_title	proposed_display_title	artist	album	assigned_gpmc_track_id	assignment_status	official_track_record_status	pix_status	lt_pix_status	kkr_status	ci_status	assignment_note
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	420	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	420	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	421	gpm_stl.csv	167047666	Only Wanna Be with You	Only Wanna Be with You	KLEIGH	Lovin’ Loving	GPMC-TRK-000420	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	421	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	421	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	422	gpm_stl.csv	167047668	OVER UNDER Ballad	OVER UNDER Ballad	Michael Scherer	Scherer Desire	GPMC-TRK-000421	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	422	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	422	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	423	gpm_stl.csv	167047671	Over and Over	Over and Over	KLEIGH	Go for the Heart	GPMC-TRK-000422	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	423	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	423	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	424	gpm_stl.csv	167047672	Overtaken - INSTRO	Overtaken - INSTRO	G Putnam Music	Cinema	GPMC-TRK-000423	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	424	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	424	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	425	gpm_stl.csv	167047674	Paradise - INSTRO	Paradise - INSTRO	G Putnam Music	Cinema	GPMC-TRK-000424	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	425	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	425	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	426	gpm_stl.csv	167047686	PAST TENNESSEE - Stripped	PAST TENNESSEE - Stripped	Simon Webb	Festive	GPMC-TRK-000425	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	426	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	426	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	427	gpm_stl.csv	167047734	Peter Jackson - INSTRO	Peter Jackson - INSTRO	G Putnam Music	Cinema	GPMC-TRK-000426	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	427	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	427	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	428	gpm_stl.csv	167047827	Poppin' Out - INSTRO	Poppin' Out - INSTRO	Michael Scherer	He Has Jazz	GPMC-TRK-000427	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	428	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	428	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	429	gpm_stl.csv	167047830	The Rain It Falls - INSTRO	The Rain It Falls - INSTRO	G Putnam Music	For Real?	GPMC-TRK-000428	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	429	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	429	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	430	gpm_stl.csv	167047860	01 Shooting Star	01 Shooting Star	KLEIGH	G Putnam Music	GPMC-TRK-000429	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
