registry_import_batch_id	registry_import_row_number	registry_import_status	source_queue_file	source_queue_row_number	track_record_status	track_id_assignment_status	public_title_decision_status	pix_status	lt_pix_status	kkr_status	ci_status	import_notes	batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason	working_queue_triage_reason
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	297	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	298	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	336	gpm_stl.csv	148189109	GOTTA KEEP MOVIN'	GOTTA KEEP MOVIN'	KLEIGH	We Got This	0:04:38	118.0	Alt Rock	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	298	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	299	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	337	gpm_stl.csv	148189121	GOTTA BREATHE	GOTTA BREATHE	KLEIGH	Still Walking	0:04:21	80.0	Singer/songwriter, Rock	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	299	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	300	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	338	gpm_stl.csv	148411581	EVEN IF I TRIED (Minimal)	EVEN IF I TRIED (Minimal)	Rhonda Lester	Growing Stronger	0:03:11		Folk	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	300	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	301	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	339	gpm_stl.csv	152025140	LIVE FOR THIS WORLD	LIVE FOR THIS WORLD	KLEIGH	Beautiful World	0:04:43	109.0	Alt Rock	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	301	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	302	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	340	gpm_stl.csv	152025150	SCORE 3 - THE END - INSTRO	SCORE 3 - THE END - INSTRO	G Putnam Music	CINEMA	0:04:37		TV/Film	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	302	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	303	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	341	gpm_stl.csv	152025171	WHY DOES LIFE HAVE TO BE THIS HARD?	WHY DOES LIFE HAVE TO BE THIS HARD?	KLEIGH	Doin’ the Ev'ryday	0:04:57	102.0	Pop, Indie	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	303	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	304	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	342	gpm_stl.csv	152025172	I NEED AN ANGEL	I NEED AN ANGEL	KLEIGH	Memory’s Malice	0:04:07	107.0	Blues, Alt Rock	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	304	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	305	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	343	gpm_stl.csv	152025173	WE'LL BE FREE	WE'LL BE FREE	KLEIGH	Memory’s Malice	0:04:46	88.0	Rock	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	305	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	306	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	344	gpm_stl.csv	152025176	BOUGHT INTO YOUR GAME	BOUGHT INTO YOUR GAME	KLEIGH	Still Walking	0:05:14	87.0	Rock	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	306	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	307	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	345	gpm_stl.csv	153571215	YOUR HEART POUNDING - Nkd	YOUR HEART POUNDING - Nkd	KLEIGH	We Got This	0:02:50	124.0	Alt Rock/Singer-Songwriter	YES		BATCH_CLEAN_PENDING_REVIEW		
